ID,VAR1,VAR2,VAR3,OUTCOME
27645,34,0,0,0
31869,63,0,0,1
37648,64,0,0,0
29095,45,0,0,0
44440,20,0,99.4667,0
37643,30,0,0,0
27120,58,0,652.983,1
44404,32,0,100.467,1
29985,86,0,222.25,1
35634,81,0,21.05,1
35598,83,0,242.65,1
39987,88,0,10.1333,1
35658,95,0,213.7,1
32095,83,0,111.233,1
32285,80,0,75.7,1
37705,92,0,234.167,0
34554,80,0,200.467,1
27783,89,0,475.5,1
37908,79,0,404.6,1
40364,75,0,10.65,1
44623,18,0,0,1
27762,24,0,0,0
31362,52,0,0,1
37636,75,0,7.26667,1
37700,80,0,0,1
39997,36,0,5.61667,1
35170,44,0,66.2667,0
28127,38,0,0,0
37772,82,0,535.983,1
37904,26,0,0,1
42845,46,0,0,1
35755,27,0,0,0
27132,34,0,56.35,0
41830,29,0,0,1
43091,85,0,0,1
37639,23,0,10.1,1
37536,59,0,0,1
27149,47,0,0,1
28089,20,0,1028.53,1
32376,48,0,0,0
32678,59,0,17.7833,1
37236,86,0,0,0
34386,30,0,0,0
37359,34,0,3.11667,1
36430,69,0,0,1
37283,77,0,0,1
29627,64,0,2017.22,1
37364,42,0,27.5667,1
37721,45,0,24.65,1
38668,50,0,0,1
39878,20,0,0,1
44279,54,0,0,1
38842,88,0,2371.33,1
32123,83,0,2784.23,1
43984,51,0,2061.82,1
32432,70,0,0,1
25282,84,0,0,1
26623,70,0,140.95,0
38482,76,0,522.95,1
37339,74,0,30.6333,1
38569,73,0,1086.02,0
25700,64,0,365.9,1
29545,82,0,0,1
37008,76,0,2,0
38859,74,0,268.45,1
31724,38,0,0,1
32522,52,0,32.9333,0
37270,63,0,157.367,1
38489,89,0,1150.7,1
27881,50,0,43.6,1
35387,63,0,2.75,1
28416,57,0,5.15,1
37013,27,0,0,0
42392,55,0,689.467,1
41217,24,0,0,0
37347,89,0,1378.53,1
44271,85,0,867.7,1
38125,72,0,0,1
38485,52,0,152.067,1
41222,56,0,10.75,1
38853,59,0,26.4167,1
25631,87,0,0,1
25686,23,0,0,0
35185,33,0,225.85,0
37021,17,0,558.533,1
41129,26,0,0,1
31764,59,0,67.9667,1
31453,35,0,0,0
40957,92,0,7.81667,1
32276,85,0,0,1
40982,72,0,255.867,1
37894,90,0,49.0833,1
37284,60,0,218.267,1
39300,76,0,188.7,0
26036,74,0,84.0833,1
42521,94,0,3.25,1
32199,57,0,73.0167,1
42130,44,0,0,1
41814,75,0,0,1
40876,68,0,62.7333,1
37175,79,0,2.5,0
41191,75,0,139.5,1
33649,71,0,3.96667,0
38032,55,0,0,1
37184,36,0,300.283,1
25343,53,0,0,1
41109,29,0,0,0
37255,72,0,0,0
38565,78,0,0,1
32351,89,0,0,1
38567,87,0,119.45,1
30867,17,0,0,0
38486,49,0,2.41667,1
32905,81,0,130.383,1
26876,72,0,0,1
29121,71,0,180.983,1
28885,46,0,180.933,1
37271,78,0,4.83333,1
28267,65,0,0,0
38575,59,0,0,1
27614,60,0,89.4667,1
37014,88,0,0,1
37322,76,0,42.6,0
37348,96,0,0,1
39468,85,0,217.333,1
38660,72,0,0,1
40338,65,0,187.8,1
32198,65,0,1316.55,0
37285,82,0,0,0
40877,39,0,501.683,0
37026,59,0,0,1
41095,57,0,0,0
37290,38,0,0,0
36993,81,0,0,1
37365,64,0,7.53333,1
40880,20,0,0,1
38875,80,0,0,1
36528,87,0,0,1
41102,68,0,137.467,1
27428,84,0,1098.67,1
31222,79,0,0,1
38555,48,0,0,1
38646,45,0,0,1
30714,86,0,0,1
25606,70,0,5.31667,1
